PATH,PSNR,NRMSE,SSI,NMI
34,13.861893410111747,0.3418769716972886,0.8244903531626544,1.650385490618977
35,13.5750050795126,0.3815871332414178,0.8426280699373753,1.666601880669169
36,17.02449376249876,0.22617877168282075,0.8406121773605536,1.691763205083223
37,15.642369347002296,0.29556571784985375,0.8902284965122499,1.7286890474422745
38,15.826254169324596,0.28110832989196355,0.870268924483492,1.713054569917482
39,12.677121517960906,0.4335250706695037,0.8236261360873042,1.6984181584302966
40,14.944984183834995,0.3801381620806137,0.863038283940711,1.6982558500495706
41,12.045701992753093,0.8495238532521875,0.8413879447250626,1.530282927903121
42,18.899295229379117,0.18213278464402163,0.8875333385432725,1.6963660470594053
43,17.521576015199223,0.20222124493602947,0.8804754080476794,1.7530462040158405
44,16.665275841668535,0.27689923002447814,0.9001686316818557,1.7427738602190246
45,17.098591563386133,0.2728665191732986,0.8851666236507787,1.7493883800069794
46,15.661788887896954,0.4013767068269183,0.8781676188153665,1.6673696101859372
47,18.58955029198637,0.1632662664378959,0.8940990655739008,1.7715198306151845
48,16.17346384928012,0.28890899503594514,0.8610806286385474,1.6815641817143276
49,15.113577702203095,0.37654239398730116,0.8873070350444802,1.7596571090826825
50,17.996959522734937,0.20984002868656998,0.8939419511849672,1.716809476437518
52,17.03119573703038,0.2643254600975757,0.8057142641642612,1.7011602972085909
53,16.732643633787344,0.2648797266484517,0.8001448506713931,1.8437996446946479
54,15.979461092646964,0.28125952531406606,0.8058744235933355,1.706883571822012
55,16.135616585182397,0.2877936044312385,0.8050175205936083,1.8215298951696863
56,17.235176994423284,0.21693395734836843,0.8457605534601413,1.818583951323971
57,14.45074148809815,0.4153311252899976,0.8001937774098214,1.7096892078190202
58,16.108927239121634,0.2829130683928265,0.8478206748876423,1.8224463779473712
59,14.83611088564077,0.3938876586631753,0.8201446097435439,1.6816025530523984
60,18.031278746445846,0.21243977894460325,0.7950652373818403,1.7084930578075295
61,13.892087520967838,0.4875112723856672,0.7956521736686122,1.7113685426797989
162,15.880120580647246,0.29696497991509097,0.8126118341892631,1.7717986769989642
163,17.136083984441548,0.21413326108489114,0.8516493707215073,1.8335761191598878
164,15.651937533445686,0.2654798960073236,0.8351443132991749,1.8030187984429877
165,16.26244436284498,0.2701419055895989,0.8229650507887202,1.7430752286543547
166,15.71051144040897,0.34995397752416707,0.82981530915959,1.7327842248738095
167,13.200055488321492,0.5271456687026757,0.7941740842221503,1.6943320192318994
168,18.180395490128106,0.1756282951023914,0.8396871015010715,1.7821404296205936
